utterance,spa_all,spa_1,spa_2,spa_2a,time_stamp,speaker,sentence,lemmas,pos,action,file_id,errors,child
40,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
41,,,,,00:00:00,MOT,it's a mirror .,it be a mirror .,pro_per cop det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
42,,,,,00:00:00,MOT,who's in the mirror ?,who be in the mirror ?,pro_int cop prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
43,,,,,00:00:00,MOT,who's that ?,who be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
44,,,,,00:00:00,MOT,who's that in the mirror ?,who be that in the mirror ?,pro_int cop pro_dem prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
45,,,,,00:00:00,CHI,Anne .,Anne .,n_prop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
46,,,,,00:00:00,MOT,Judy can feel daddy's scratchy face .,Judy can feel daddy scratch face .,n_prop mod v adj adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
47,,,,,00:00:00,MOT,can you feel daddy's scratchy face ?,can you feel daddy scratch face ?,mod pro_per v adj adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
48,,,,,00:00:00,MOT,how does that feel ?,how do that feel ?,pro_int mod adv v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
49,,,,,00:00:00,MOT,how does that feel ?,how do that feel ?,pro_int mod adv v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
50,,,,,00:00:00,MOT,scratchy ?,scratch ?,adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
51,,,,,00:00:00,MOT,Judy can read her book can you read Judy's book ?,Judy can read her book can you read Judy book ?,n_prop n v det_poss n mod pro_per v adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
52,,,,,00:00:00,MOT,what's that say ?,what be that say ?,pro_int cop pro_dem v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
53,,,,,00:00:00,MOT,he's asleep .,he be asleep .,pro_sub cop adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
54,,,,,00:00:00,MOT,how big is bunny ?,how big be bunny ?,pro_int adj aux n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
55,,,,,00:00:00,MOT,what is bunny doing ?,what be bunny do ?,pro_int aux n part,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
56,,,,,00:00:00,MOT,he's eating his supper .,he be eat his supper .,pro_sub aux part det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
57,,,,,00:00:00,MOT,what is he doing here ?,what be he do here ?,pro_int cop pro_sub part adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
58,,,,,00:00:00,MOT,Paul can put his finger through mommy's ...,Paul can put his finger through mommy ...,n_prop n v det_poss n prep adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
59,,,,,00:00:00,MOT,now you put your finger through mommy's .,now you put your finger through mommy .,adv pro_per v det_poss n prep adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
60,,,,,00:00:00,MOT,hello !,hello !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
61,,,,,00:00:00,MOT,that's all .,that be all .,pro_dem cop pro_indef,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
62,,,,,00:00:00,MOT,byebye .,byebye .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
63,,,,,00:00:00,MOT,can you ...,can you ...,mod pro_per,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
64,,,,,00:00:00,MOT,that's good !,that be good !,pro_dem cop adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
65,,,,,00:00:00,MOT,byebye see ya later .,byebye see you later .,co v pro_per adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
66,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
67,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
68,,,,,00:00:00,CHI,xxx,,,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
69,,,,,00:00:00,MOT,cow jumping over the what ?,cow jump over the what ?,n part prep det_art pro_int,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
70,,,,,00:00:00,MOT,who's that ?,who be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
71,,,,,00:00:00,MOT,right .,right .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
72,,,,,00:00:00,MOT,okay .,okay .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
73,,,,,00:00:00,MOT,let's look at this picture .,let us look at this picture .,v pro_obj v prep det_dem n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
74,,,,,00:00:00,MOT,what's that ?,what be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
75,,,,,00:00:00,MOT,who's that ?,who be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
76,,,,,00:00:00,MOT,is it a mouse ?,be it a mouse ?,aux pro_per det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
77,,,,,00:00:00,MOT,what's he doing ?,what be he do ?,pro_int cop pro_sub part,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
78,,,,,00:00:00,MOT,what's in his hand ?,what be in his hand ?,pro_int cop prep det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
79,,,,,00:00:00,MOT,what ?,what ?,pro_int,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
80,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
81,,,,,00:00:00,MOT,do ya think he's a duck ?,do you think he be a duck ?,mod pro_per v pro_sub cop det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
82,,,,,00:00:00,MOT,no I think he's a could be a mouse .,no I think he be a could be a mouse .,co pro_sub v pro_sub cop det_art mod cop det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
83,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
84,,,,,00:00:00,MOT,is that an a ?,be that a a ?,cop comp det_art n_let,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
85,,,,,00:00:00,MOT,this is an a .,this be a a .,pro_dem cop det_art n_let,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
86,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
87,,,,,00:00:00,MOT,right !,right !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
88,,,,,00:00:00,MOT,and what's this ?,and what be this ?,coord pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
89,,,,,00:00:00,MOT,right !,right !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
90,,,,,00:00:00,MOT,and what's this ?,and what be this ?,coord pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
91,,,,,00:00:00,MOT,no it's a c right ?,no it be a c right ?,co pro_per cop det_art n_let co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
92,,,,,00:00:00,MOT,okay let's see if we can find out some other letters what's this ?,okay let us see if we can find out some other letter what be this ?,co v pro_obj v conj pro_sub mod v adv qn qn n pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
93,,,,,00:00:00,MOT,right !,right !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
94,,,,,00:00:00,MOT,and what's this ?,and what be this ?,coord pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
95,,,,,00:00:00,MOT,this is a g and this is a ...,this be a g and this be a ...,pro_dem cop det_art n_let coord pro_dem cop det_art,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
96,,,,,00:00:00,MOT,almost !,almost !,adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
97,,,,,00:00:00,MOT,that's an e ...,that be a e ...,pro_dem cop det_art n_let,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
98,,,,,00:00:00,MOT,what's this Gail ?,what be this Gail ?,pro_int cop pro_dem n_prop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
99,,,,,00:00:00,MOT,no .,no .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
100,,,,,00:00:00,MOT,this is an f .,this be a f .,pro_dem cop det_art n_let,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
101,,,,,00:00:00,MOT,what's that ?,what be that ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
102,,,,,00:00:00,MOT,you know what this letter is ...,you know what this letter be ...,pro_per v pro_int det_dem n cop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
103,,,,,00:00:00,MOT,of course !,of course !,prep n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
104,,,,,00:00:00,MOT,and there's the g .,and there be the g .,coord pro_exist cop det_art n_let,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
105,,,,,00:00:00,MOT,do you know what this animal is ?,do you know what this animal be ?,mod pro_per v pro_int det_dem n cop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
106,,,,,00:00:00,MOT,no .,no .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
107,,,,,00:00:00,MOT,that's not the cow jumping over the moon what's that animal we saw at the zoo yesterday ?,that be not the cow jump over the moon what be that animal we see at the zoo yesterday ?,pro_dem cop neg det_art n part prep det_art n pro_int cop det_dem n pro_sub v prep det_art n adv_tem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
108,,,,,00:00:00,MOT,the museum ?,the museum ?,det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
109,,,,,00:00:00,MOT,that's not a zebra that's a great big who has a trunk ?,that be not a zebra that be a great big who have a trunk ?,pro_dem cop neg det_art n pro_rel cop det_art adj adj pro_rel v det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
110,,,,,00:00:00,MOT,hm ?,hm ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
111,,,,,00:00:00,MOT,it's an elephant !,it be a elephant !,pro_per cop det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
112,,,,,00:00:00,MOT,what's this Gail ?,what be this Gail ?,pro_int cop pro_dem n_prop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
113,,,,,00:00:00,MOT,oh that's not a cow jumping over the moon !,oh that be not a cow jump over the moon !,co pro_dem cop neg det_art n part prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
114,,,,,00:00:00,MOT,that's a horsie !,that be a horse !,pro_dem cop det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
115,,,,,00:00:00,MOT,who's sitting on the horsie ?,who be sit on the horse ?,pro_rel aux part prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
116,,,,,00:00:00,MOT,a little boy !,a little boy !,det_art adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
117,,,,,00:00:00,MOT,isn't he having fun ?,be not he have fun ?,cop neg pro_sub part n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
118,,,,,00:00:00,MOT,okay would you like to play with this little boy ?,okay will you like to play with this little boy ?,co mod pro_per v inf v prep det_dem adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
119,,,,,00:00:00,MOT,you would ?,you will ?,pro_per mod,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
120,,,,,00:00:00,MOT,oh ...,oh ...,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
121,,,,,00:00:00,MOT,what's his name ?,what be his name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
122,,,,,00:00:00,MOT,you wanna get it opened ?,you want to get it open ?,pro_per v inf v pro_per v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
123,,,,,00:00:00,MOT,what's this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
124,,,,,00:00:00,MOT,I'll help you what is this ?,I will help you what be this ?,pro_sub mod v pro_per pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
125,,,,,00:00:00,MOT,a zipper right !,a zip right !,det_art n co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
126,,,,,00:00:00,MOT,want me to help zip it ?,want me to help zip it ?,v pro_obj inf v v pro_per,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
127,,,,,00:00:00,MOT,there !,there !,adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
128,,,,,00:00:00,MOT,can you zip it up ?,can you zip it up ?,mod pro_per v pro_per adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
129,,,,,00:00:00,MOT,right very good !,right very good !,adv adv adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
130,,,,,00:00:00,MOT,now can you zip it up ?,now can you zip it up ?,adv mod pro_per v pro_per adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
131,,,,,00:00:00,MOT,pull .,pull .,v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
132,,,,,00:00:00,MOT,is that too hard ?,be that too hard ?,cop pro_dem adv adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
133,,,,,00:00:00,MOT,do you want me to unsnap it for you ?,do you want me to snap it for you ?,mod pro_per v pro_obj prep v pro_per prep pro_per,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
134,,,,,00:00:00,MOT,there !,there !,adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
135,,,,,00:00:00,MOT,now can you put it back together ?,now can you put it back together ?,adv mod pro_per v pro_per adv adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
136,,,,,00:00:00,MOT,almost !,almost !,adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
137,,,,,00:00:00,MOT,here mommy'll help you .,here mommy will help you .,adv n mod v pro_per,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
138,,,,,00:00:00,MOT,alright .,alright .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
139,,,,,00:00:00,MOT,what's this Gail ?,what be this Gail ?,pro_int cop pro_dem n_prop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
140,,,,,00:00:00,MOT,it's a foot .,it be a foot .,pro_per cop det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
141,,,,,00:00:00,MOT,an what's on the foot ?,and what be on the foot ?,coord pro_int cop prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
142,,,,,00:00:00,MOT,a what ?,a what ?,det_art pro_int,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
143,,,,,00:00:00,MOT,a lacing ?,a lace ?,det_art n_gerund,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
144,,,,,00:00:00,MOT,shall I untie it ?,shall I tie it ?,mod pro_sub v pro_per,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
145,,,,,00:00:00,MOT,now can you untie his shoe this morning ?,now can you tie his shoe this morning ?,adv mod pro_per v det_poss n det_dem n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
146,,,,,00:00:00,MOT,you're tired of him ?,you be tire of him ?,pro_per aux part prep pro_obj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
147,,,,,00:00:00,MOT,alright .,alright .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
148,,,,,00:00:00,MOT,let's put him down .,let us put him down .,v pro_obj v pro_obj adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
149,,,,,00:00:00,MOT,let's see what else there is ...,let us see what else there be ...,v pro_obj v pro_int post pro_exist cop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
150,,,,,00:00:00,MOT,oh what is this ?,oh what be this ?,co pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
151,,,,,00:00:00,MOT,good morning !,good morning !,adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
152,,,,,00:00:00,MOT,can you say good morning ?,can you say good morning ?,mod pro_per v adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
153,,,,,00:00:00,MOT,what's your name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
154,,,,,00:00:00,MOT,what's your name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
155,,,,,00:00:00,MOT,what's your name ?,what be your name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
156,,,,,00:00:00,MOT,will you be my friend ?,will you be my friend ?,mod pro_per cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
157,,,,,00:00:00,MOT,wanna be my friend ?,want to be my friend ?,v inf cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
158,,,,,00:00:00,MOT,Gail who's that ?,Gail who be that ?,n_prop pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
159,,,,,00:00:00,MOT,what's his name ?,what be his name ?,pro_int cop det_poss n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
160,,,,,00:00:00,MOT,what's the doggie's name ?,what be the dog name ?,pro_int cop det_art adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
161,,,,,00:00:00,MOT,woof woof ?,woof woof ?,v v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
162,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
163,,,,,00:00:00,MOT,can you give the doggie a little kiss ?,can you give the dog a little kiss ?,mod pro_per v det_art n det_art adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
164,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
165,,,,,00:00:00,MOT,can you give the doggie a little hug ?,can you give the dog a little hug ?,mod pro_per v det_art n det_art adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
166,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
167,,,,,00:00:00,MOT,thank_you !,thank_you !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
168,,,,,00:00:00,MOT,thank_you !,thank_you !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
169,,,,,00:00:00,MOT,what is this ?,what be this ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
170,,,,,00:00:00,MOT,mm .,mm .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
171,,,,,00:00:00,MOT,what is it ?,what be it ?,pro_int cop pro_per,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
172,,,,,00:00:00,MOT,hm ?,hm ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
173,,,,,00:00:00,MOT,I'm hungry !,I be hungry !,pro_sub cop adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
174,,,,,00:00:00,MOT,can you give me something to eat ?,can you give me something to eat ?,mod pro_per v pro_obj pro_indef inf v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
175,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
176,,,,,00:00:00,MOT,thank_you .,thank_you .,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
177,,,,,00:00:00,MOT,do you think I should eat that finger ?,do you think I should eat that finger ?,mod pro_per v pro_sub mod v pro_dem v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
178,,,,,00:00:00,MOT,yum yum yum yum yum yum !,yum yum yum yum yum yum !,n n n n n n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
179,,,,,00:00:00,MOT,that's good !,that be good !,pro_dem cop adj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
180,,,,,00:00:00,MOT,watch out !,watch out !,v adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
181,,,,,00:00:00,MOT,I might have some teeth !,I might have some tooth !,pro_sub mod v qn n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
182,,,,,00:00:00,MOT,mm !,mm !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
183,,,,,00:00:00,MOT,oh !,oh !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
184,,,,,00:00:00,MOT,oh my little tongue ouch ouch I'm hurt !,oh my little tongue ouch ouch I be hurt !,co det_poss adj n n n pro_sub aux part,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
185,,,,,00:00:00,MOT,can you give me a little kiss ?,can you give me a little kiss ?,mod pro_per v pro_obj det_art adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
186,,,,,00:00:00,MOT,oh thank_you .,oh thank_you .,co n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
187,,,,,00:00:00,MOT,you're such a nice mistress !,you be such a nice mistress !,pro_per cop qn det_art adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
188,,,,,00:00:00,MOT,oh please !,oh please !,co co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
189,,,,,00:00:00,MOT,now I can't get out !,now I can not get out !,adv pro_sub mod neg v adv,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
190,,,,,00:00:00,MOT,can you open the door ?,can you open the door ?,mod pro_per v det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
191,,,,,00:00:00,MOT,thank_you !,thank_you !,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
192,,,,,00:00:00,MOT,oh I'm stuck I'm stuck !,oh I be stick I be stick !,co pro_sub aux part pro_sub aux part,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
193,,,,,00:00:00,MOT,oh I think I'll go to sleep now night_night !,oh I think I will go to sleep now night !,co pro_sub v pro_sub mod v prep n adv n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
194,,,,,00:00:00,MOT,can you sing me a song ?,can you sing me a song ?,mod pro_per v pro_obj det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
195,,,,,00:00:00,MOT,can you sing me a song ?,can you sing me a song ?,mod pro_per v pro_obj det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
196,,,,,00:00:00,MOT,so I can go to sleep ?,so I can go to sleep ?,co pro_sub mod v prep n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
197,,,,,00:00:00,MOT,please how bout Jack and Jill .,please how about Jack and Jill .,co pro_int prep n_prop coord n_prop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
198,,,,,00:00:00,MOT,you sing me Jack and Jill ?,you sing me Jack and Jill ?,pro_per v pro_obj n_prop coord n_prop,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
199,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
200,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
201,,,,,00:00:00,MOT,can you sing me baa_baa black sheep ?,can you sing me baa black sheep ?,mod pro_per v pro_obj on adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
202,,,,,00:00:00,MOT,I'll start it and you help me sing .,I will start it and you help me sing .,pro_sub mod v pro_per coord pro_per v pro_obj v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
203,,,,,00:00:00,MOT,baa_baa black sheep have you any ...,baa black sheep have you any ...,on adj n aux pro_per qn,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
204,,,,,00:00:00,MOT,yes sir yes sir three bags ...,yes sir yes sir three bag ...,co n co n det_num n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
205,,,,,00:00:00,MOT,one for my ...,one for my ...,det_num prep det_poss,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
206,,,,,00:00:00,MOT,one for my ...,one for my ...,det_num prep det_poss,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
207,,,,,00:00:00,MOT,and one for ...,and one for ...,coord pro_indef prep,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
208,,,,,00:00:00,MOT,who ?,who ?,pro_rel,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
209,,,,,00:00:00,MOT,one for me !,one for me !,det_num prep pro_obj,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
210,,,,,00:00:00,MOT,one for the dragon !,one for the dragon !,det_num prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
211,,,,,00:00:00,MOT,can you say dragon ?,can you say dragon ?,mod pro_per v n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
212,,,,,00:00:00,MOT,who lives ...,who life ...,pro_int n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
213,,,,,00:00:00,MOT,down the lane !,down the lane !,prep det_art n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
214,,,,,00:00:00,MOT,oh thank_you thank_you that will help me fall asleep very well now now I think I'll go nightie_night .,oh thank_you thank_you that will help me fall asleep very well now now I think I will go nightie_night .,co co co adv mod v pro_obj v adv adv adv adv adv pro_sub v pro_sub mod v co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
215,,,,,00:00:00,MOT,but before I go would you sing me one more song ?,but before I go will you sing me one more song ?,conj prep pro_sub v mod pro_per v pro_obj pro_indef qn n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
216,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
217,,,,,00:00:00,MOT,Gail please ?,Gail please ?,n_prop co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
218,,,,,00:00:00,MOT,will you please sing me one more nice song ?,will you please sing me one more nice song ?,mod pro_per co v pro_obj pro_indef adv adj n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
219,,,,,00:00:00,MOT,how bout muffin man ?,how about muffin man ?,pro_int prep n n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
220,,,,,00:00:00,MOT,kay ?,okay ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
221,,,,,00:00:00,MOT,you sing .,you sing .,pro_per v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
222,,,,,00:00:00,MOT,kay ?,okay ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
223,,,,,00:00:00,MOT,so I'll go to sleep .,so I will go to sleep .,adv pro_sub mod v prep n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
224,,,,,00:00:00,MOT,do you know ?,do you know ?,mod pro_per v,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
225,,,,,00:00:00,MOT,can you sing me the muffin man ?,can you sing me the muffin man ?,mod pro_per v pro_obj det_art n n,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
226,,,,,00:00:00,MOT,please ?,please ?,co,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
227,,,,,00:00:00,MOT,do you know the ...,do you know the ...,mod pro_per v det_art,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
228,,,,,00:00:00,MOT,the muffin man the ...,the muffin man the ...,det_art n n det_art,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
229,,,,,00:00:00,MOT,do you know the ...,do you know the ...,mod pro_per v det_art,,formatted/Bernstein/Gail/020100.json,u279 u336,gail
